entryId,title,access
843,llama.cppでGemma 3 27Bを動かしてSpring AIからアクセスする (MCP連携あり),46
818,Spring BootでJWT認証・認可の設定メモ,38
763,Spring Securityで2要素認証 (2FA) を行う方法,36
803,OllamaをOpenAI互換サーバーとして使用し、Spring AIからアクセスする,36
757,Spring Securityでログイン時にパスワードハッシュアルゴリズムを変更する方法,33
820,Spring BootでMicrosoft Entra ID(旧Azure AD)とSAML2連携してログインするメモ,28
377,SpringのBean定義(Java Config)で型が重複する場合のインジェクション方法,25
739,SpringのRestTemplateによるHTTPリクエストのリトライをClientHttpRequestInterceptorで実装する,22
792,HTTP/3に対応したcurlをHomebrewでインストールするメモ,22
858,"Java on Azure Day 2025で""Spring AIで学ぶMCPの活用""について話してきました。",19
771,java-llama.cppを使ってローカルLLMでテキスト生成する,17
848,Spring Bootで作ったAPIのUIをClaudeに作らせるTips,16
443,誤解しがちなThreadPoolTaskExecutorの設定,15
540,自己署名証明書(オレオレ証明書)をMacで信頼させるメモ,14
376,Spring Bootの@ ConfigurationPropertiesで型安全なプロパティ設定,13
770,llama-cpp-pythonを使ってローカルLLMでテキスト生成とOpenAI互換サーバーを立てる,13
835,Minecraft MOD Server (Forge)をKubernetesにインストールするメモ,11
107,過去の各バージョンのFirefoxをダウンロードする方法,10
108,Spring MVCのフォームでコードリストからselect/optionタグを生成する,10
371,Spring Boot + Doma2を使おう,10
408,Spring Batch + Spring Bootで複数DataSourceを扱うときの設定,10
782,自宅サーバーにMicroK8sをインストールメモ,10
847,Spring BatchのResourcelessJobRepositoryを使いメタデータを保存しないようにするメモ,10
76,宣教師と人食い人種問題,9
115,Log4JDBCでSQLログを出力する,9
417,はじめてのSpring WebFlux (その1 - Spring WebFluxを試す),9
467,SpringのWebClientのtimeoutとretryについて,7
632,SpringのWebClientのHTTP Request/Responseログを出力するメモ,7
790,llama-cpp-pythonを使ってLlama 3モデルを使ったOpenAI互換サーバーを起動しSpring AIからアクセスする,7
438,Echo Serverを実装して学ぶReactor Nettyによるストリーム処理,6
626,Spring Boot 2.4で導入されたConfig TreeでKubernetesのSecretの値をSpring Bootアプリのプロパティに設定,6
690,Cloud Native BuildpacksでNext.jsのアプリをビルドするメモ,6
745,Spring IntegrationでPollingベースのOutboxパターンを実装する,6
800,"JJUG CCC 2024 Springで""知名度は高くないけど便利なJavaライブラリ集""について話してきました。",6
816,Spring BootでmTLS(Mutual TLS)の設定メモ,6
819,Spring BootでIAM Identity Center(旧AWS SSO)とSAML2連携してログインするメモ,6
826,Macセットアップメモ (Apple M4 Max),6
845,Spring Batch + Spring BootでJob内で利用するデータベースとJobを管理するデータベースを別々にするメモ,6
846,Geminiの無料枠でOpenAI APIを使ってSpring AIからアクセスする (MCP連携あり),6
857,VMware Tanzu Gemfire on Kubernetes 2.5をインストールするメモ,6
175,Oracleで特定のOSユーザーが実行中のSQLを出力するSQL,5
350,JPA 2.1のエンティティグラフについて,5
400,Nexus RepositoryのDocker Registryを使ってオフラインでConcourse CIを使う,5
476,Concourse CIを使ってSpring Bootのバージョンアップを自動化する,5
656,Thymeleafテンプレートを使ってJdbcTemplateで動的なSQLを実行する,5
761,Tanzu Kubernetes GridのPrometheus Packageでremote-write-receiverとagent modeをセットアップして複数のKubernetesクラスタを監視する,5
828,llama-cppのOpenAI互換サーバー機能を使ってSpring AIからアクセスする,5
834,Minecraft Server (Java Edition)をKubernetesにインストールするメモ,5
853,Amazon Aurora DSQLにSpring BootでアクセスするTips,5
125,RedHat系Linuxの固定IP設定,4
142,LinuxへWebLogic12cインストールメモ,4
199,Javaプログラム内でHTTPプロキシの認証を突破するための設定,4
327,OpenSSLで作成したRSAの鍵を使ってJavaで暗号化・復号するサンプル,4
560,Kubernetesハンズオン - 10. RBACによるKubernetes APIアクセス制御,4
746,Docker Desktop for Mac代替のOrbStackがすごい,4
752,Spring Bootを使わずEmbedded TomcatでWebMvc.fnを使う,4
766,"pgvector, PostgresMLに対応したVMware Greenplum® 7をvSphere上のRocky Linux VMにインストールするメモ",4
772,CRaCに対応したSpring BootアプリのDockerイメージを作るメモ,4
794,limaを使ってQEMUでApple Silicon上のx86_64用Docker Daemonを起動するメモ,4
830,Raspberry PiにMinecraft Server (Java Edition)をインストールするメモ,4
850,Spring gRPC 0.8.0を試す,4
67,「プログラマのための論理パズル」(1)甘いもの好き,3
138,Javaのソースコードレビュー観点をまとめてみた,3
148,ThymeLeafでjavascriptにcontextPathを設定する,3
158,Java EE 6 ハンズオンラボでJavaEE6を始めよう！(JBoss Forge付き) javaee glassfishjp,3
236,Java8のcomputeIfAbsentとラムダを使ってメモ化,3
268,Spring Bootの組み込みTomcatでHTTPS対応 springboot,3
276,KeyStoreに保存した秘密鍵を使って Spring Boot アプリに渡すパスワードを暗号化する,3
339,SpringのCache Abstractionについて,3
341,JRebel でSpring Bootアプリケーションの快適リローディング (IntelliJ IDEA編),3
353,Remove 'jsessionid=xxxx' from URL in Spring Boot App,3
517,Kubernetesクラスタ内からcurlを実行するメモ,3
557,Kubernetesハンズオン - 7. IngressによるL7ロードバランシング,3
623,Deploymentで管理されたPodを再起動するメモ,3
756,Tanzu Application Platformでtype=serverのWorkloadに対してIngressを作る,3
758,JupyterでJava Kernelを使うメモ,3
776,VMware Tanzu Application Service for VMs 5.0 (Small Footprint版) をCLIでvSphereにインストールするメモ,3
793,Reactor NettyでHTTP/3対応サーバーを作る,3
812,SDKを使わずにSpringのRestTemplate/RestClientを使ってS3 APIにアクセスする,3
837,OpenTelemetry(OTLP)に対応したLGTM Observability基盤をBitnamiのHelm Chartで構築するメモ,3
61,これからJavaを勉強する人が読むと良い本,2
85,JVMのヒープ・GCチューニングまとめ,2
141,MacへJenkinsインストールメモ,2
182,WebLogicメモ,2
238,brew service使えばlaunchctl叩かなくてよい,2
259,途中からFlywayでDBマイグレーション導入するときの既存DBへのセットアップ,2
261,既存のTomcatユーザーが1アプリ1組み込みサーバーなマイクロサービスアーキテクチャ時代に簡単に追いつく方法,2
263,スタンドアローンJSF2.2+PrimeFaces入門メモ,2
301,Spring MVC + Spring BootでJackson2のdataformatを変更する方法,2
302,Java8でIteratorからStreamに変換する方法,2
322,Mavenプラグインの使い方(ヘルプ)を表示する,2
323,Javaユーザー待望のJava標準MVCフレームワーク 「MVC 1.0」(JSR371)の紹介,2
352,Javaの全角・半角変換ユーティリティ,2
359,Cloud FoundryにSpring Boot/Java EEアプリケーションをデプロイしよう,2
426,SpringのVaultサポートその1 (Spring Vault),2
441,Synology NASにMinio on DockerをインストールしてS3互換サーバーにする,2
461,"Java用Validatorライブラリ""YAVI""(ヤヴァイ)の紹介",2
487,Helm Tilerを使わずにConcourse CIをKubernetesにインストールするメモ,2
493,Spring Boot ActuatorのThreaddumpエンドでライブスレッド名を取得する,2
494,Reactorで返り値がMono<Void>の処理の後、引数をそのまま返すときのショートカット,2
556,Kubernetesハンズオン - 6. 永続ボリュームの利用,2
600,Cloud Foundry上で実行したSpring BatchアプリのMetricsをPrometheus Pushgatewayに送る,2
659,Bitnami Helm ChartでArgo CDをインストール及びArgo CDでyttを使用するメモ,2
662,SpringでDIを使うための最小サンプル,2
713,Cloud Native BuildpacksでRustのWebアプリをビルドするメモ,2
725,Tanzu Application Platformをkapp-controllerを使ったGitOpsでインストールするメモ,2
728,JavaでWebAssemblyを生成してみる,2
784,Prometheusをubuntu上にインストールしremote writeを受け付けるメモ,2
789,Kubernetesのノードのディスク使用量を減らすメモ,2
815,DynamoDB互換のScyllaDB AlternatorにSpring Bootでアクセスするメモ,2
825,"JJUG CCC 2024 Fallで""最近のSpring Bootの 便利機能を復習！""について話してきました。",2
827,OpenTelemetry Java Agentを使ってTomcat上のLegacyなServletアプリをTracingするメモ,2
832,Helm ChartをイメージごとRelocationするメモ,2
839,MicroK8sのOIDC連携にCognitoを使うメモ,2
842,Rocky LinuxへのOpenTelemetry Collectorをインストールするメモ,2
849,kafka-nativeとTestcontainersで瞬時にKafkaにアクセスできるSpring Boot開発環境を作る,2
851,SendGrid SDKを使わずSpringのRestClientで直接APIを呼び出してメール送信するメモ,2
852,Tanzu Application Platform 1.12でTanzu Build ServiceのみをEKS上でインストールするメモ,2
859,ContourのTLS Session Proxyingを使ってRedisにSNIでアクセスするメモ,2
6,スケーラブルなリザルトキャッシュの作り方,1
29,Clojureで相互再帰最適化,1
30,Clojureの関数にcondition-mapでPre・Postチェック,1
37,KVMのイメージを別環境にインポート,1
42,VMWareのイメージファイルをKVMで起動する,1
56,Mavenで作るEclipseプロジェクトの文字コード設定,1
114,MySQLでデフォルト文字コードをUTF-8にする,1
123,Proxy用の環境変数を設定するスクリプト,1
150,JPA2.0(Hibernate4)ノウハウまとめ,1
155,MacへTypeScriptインストールからjQueryでHello Worldまで,1
172,Ready NAS DUO v2でSSHを有効にする,1
191,Doma+Springの連携サンプル,1
